iter	Passed	Remaining
199	20017	30026
200	20047	29821
201	20083	29627
202	20116	29431
203	20148	29235
204	20222	29100
205	20286	28951
206	20481	28991
207	20515	28801
208	20564	28633
209	20592	28437
210	20739	28406
211	20832	28300
212	20863	28112
213	20906	27940
214	20939	27757
215	21049	27676
216	21122	27547
217	21229	27461
218	21334	27374
219	21495	27357
220	21583	27247
221	21623	27077
222	21657	26902
223	21687	26721
224	21868	26728
225	22027	26705
226	22192	26689
227	22364	26680
228	22522	26653
229	22689	26635
230	22742	26483
231	22915	26471
232	23117	26490
233	23183	26354
234	23228	26193
235	23403	26179
236	23447	26019
237	23476	25844
238	23517	25682
239	23562	25526
240	23596	25359
241	23748	25318
242	23812	25184
243	23865	25039
244	23911	24887
245	23947	24726
246	24123	24709
247	24252	24643
248	24357	24553
249	24413	24413
250	24453	24258
251	24613	24223
252	24701	24115
253	24747	23968
254	24831	23857
255	24963	23792
256	25002	23640
257	25103	23546
258	25204	23453
259	25288	23343
260	25333	23198
261	25467	23134
262	25553	23027
263	25604	22889
264	25643	22740
265	25683	22593
266	25846	22555
267	25923	22441
268	25996	22323
269	26030	22174
270	26179	22121
271	26247	22001
272	26338	21900
273	26525	21878
274	26576	21744
275	26719	21685
276	26769	21551
277	26878	21464
278	26946	21344
279	26992	21208
280	27021	21059
281	27228	21048
282	27407	21015
283	27586	20981
284	27692	20890
285	27825	20820
286	27934	20731
287	27969	20588
288	28030	20465
289	28162	20393
290	28234	20278
291	28463	20275
292	28699	20275
293	28902	20251
294	29091	20216
295	29313	20202
296	29366	20071
297	29648	20096
298	29826	20050
299	29933	19955
300	30133	19922
301	30174	19783
302	30242	19662
303	30367	19579
304	30400	19436
305	30446	19302
306	30488	19166
307	30640	19100
308	30701	18977
309	30737	18839
310	30897	18776
311	30944	18646
312	30998	18519
313	31154	18454
314	31202	18325
315	31254	18198
316	31290	18063
317	31439	17993
318	31495	17870
319	31558	17751
320	31749	17704
321	31814	17587
322	31961	17514
323	32143	17460
324	32211	17344
325	32247	17211
326	32287	17081
327	32449	17016
328	32488	16886
329	32534	16760
330	32707	16699
331	32771	16583
332	32925	16511
333	32991	16396
334	33047	16277
335	33203	16206
336	33389	16149
337	33485	16049
338	33548	15933
339	33603	15813
340	33787	15754
341	33829	15628
342	33871	15504
343	34024	15429
344	34068	15306
345	34114	15183
346	34257	15104
347	34333	14996
348	34391	14879
349	34525	14796
350	34576	14677
351	34655	14571
352	34726	14461
353	34862	14378
354	34948	14274
355	34995	14155
356	35050	14039
357	35091	13918
358	35298	13863
359	35356	13749
360	35400	13630
361	35435	13508
362	35482	13391
363	35682	13332
364	35758	13225
365	35820	13114
366	35983	13040
367	36034	12925
368	36188	12847
369	36305	12755
370	36355	12640
371	36480	12552
372	36573	12452
373	36647	12346
374	36690	12230
375	36796	12135
376	36895	12037
377	36927	11918
378	36972	11803
379	37100	11716
380	37169	11609
381	37210	11494
382	37250	11379
383	37382	11292
384	37509	11204
385	37693	11132
386	37807	11039
387	37960	10957
388	38006	10844
389	38047	10731
390	38075	10614
391	38122	10503
392	38164	10390
393	38290	10301
394	38460	10223
395	38592	10135
396	38638	10024
397	38682	9913
398	38726	9802
399	38784	9696
